## 1. 초등 6학년 추천도서 (수학, 사회, 과학)

### 수학
### 과학
꼬리에 꼬리를 잇는 지식 검색 (에이비치 / Homebook, 2018)
시큼시큼 미끌미끌 : 산과 염기 (김희정 / 지학사, 2018)
자연사 박물관 : 생명 관찰 실험실 (DK 자연사 박물관 편집 위원회 / 비룡소, 2019)
조지와 빅뱅 1 (스티븐 호킹 / 주니어RHK, 2018)
우주와 별 (신광복 / 아르볼, 2018)
우주 개발이 뭐예요? (피에르 프랑수아 무리오 / 개암나무, 2018)
인간을 받아 줄 행성 어디 없나요? (조인하 / 미래인, 2018)
HOW? 미생물학의 아버지 파스퇴르 (한정호 / 와이즈만BOOKS, 2018)

## 4. 초등 4학년 추천도서 (국어, 사회, 과학)

### 국어
3.1운동, 그 가족에게 생긴 일 (고수산나 / 내일을여는책, 2019)
안이 궁금했을까 밖이 궁금했을까 (이묘신 / 청년사, 2019)
음악이 세상을 바꿀 수 있을까? (김기정 / 한권의책, 2019)
정약용이 귀양지에서 아들에게 보낸 편지 (김숙분 / 가문비어린이, 2019)
초록 양 (다이애나 킵튼 / 샘터, 2019)
1930, 경성 설렁탕 (조은경 / 머스트비, 2018)
1등 용이가 사라졌다 (윤숙희 / 나무생각, 2018)
끝나지 않은 진실 게임 (전은지 / 밝은미래, 2018)
딸가닥딸가닥 (김명희 / 청개구리, 2018)
소녀 H (신소영 / 고릴라박스, 2018)
위대한 모험가들 (앨러스테어 험프리스 / 애플트리태일즈, 2018)
직업을 파는 상점 (조경희 / M&Kids, 2018)
책, 즐겁게 읽는 법 (박동석 / 봄볕, 2018)
책을 살리고 싶은 소녀 (클라우스 하게루프 / 알라딘북스, 2018)
내 이름은 플라스틱 (정명숙 / 아주좋은날, 2017)
네 머릿속엔 뭐가 들었니? (황서영 / 청개구리, 2017)

### 사회
할머니의 마법수레 (조연화 / 청개구리, 2018)
땅에 사는 아이들 (정세연 / 내일을여는책, 2017)
미래를 살리는 착한 소비 이야기 (한화주 / 팜파스, 2016)
복작복작 세상을 바꾸는 법칙 (박동석 / 봄볕, 2016)
어린이 토론학교 : 돈과 경제 (김지은 외 / 우리학교, 2016)
어린이 토론학교 : 학교와 가족 (권이은 외 / 우리학교, 2016)
소녀소년 평등 탐구생활 (양해경 / 파란자전거, 2013)
안드로메다에서 찾아온 사회 개념 1 (김진욱 / 과학동아북스, 2013)
수리가족 탄생기 (황종금 / 파란자전거, 2019)
1+1이 공짜가 아니라고? (이정주 / 개암나무, 2018)
4차 산업혁명 (이현희 / 서유재, 2018)
남자답게? 여자답게? 그냥 나답게 할래요! (최형미, 이향 / 팜파스, 2018)
방구리 (최은순 / 스푼북, 2018)
성 평등이 뭐예요? (제랄딘 메상 / 개암나무, 2018)
안녕, 세계의 친구들 (마이야 브라미 / 샘터, 2018)
어린이 세계시민학교 (박지선 / 파란자전거, 2018)
어린이 페미니즘 학교 (초등성평등연구회 / 우리학교, 2018)

### 과학
(3·4학년이 꼭 읽어야 할) 교과서 과학 동화 (이봉 / 효리원, 2018)
거울과 렌즈는 마법이 아니야! (아나 알론소 / 알라딘북스, 2018)
과학 잘하는 40가지 비밀 (롭 비티 / 부즈펌어린이, 2018)
나 좀 살려 줘 환경과 쓰레기 (허정림 / 아르볼, 2018)
대비해! 대피해! 지진과 안전 (신방실 / 아르볼, 2018)
반려식물 키우기 (강지혜 / 상상의집, 2018)
선인장은 어떻게 식물원에 왔을까? (정병길 / 철수와영희, 2018)
